Title,Description,Topic,Topic_isced,Size,Name,Discipline,Discipline_isced,Biography,Nationality,Gender,Position,Affiliation,Country_University,Year,Location,Notes
Cooling Hybrid Learning for Neural Networks,,,Computing,1,Aristoklis Anastasiadis,Computer Science,Computing,,Greece,Male,,,,2005,Santa Fe,
Measures of Structural Complexity Networks,,,Computing,6,Aristoklis Anastasiadis,Computer Science,Computing,,Greece,Male,,,,2005,Santa Fe,
Measures of Structural Complexity Networks,,,Computing,6,Luis Da Costa,Engineering,Engineering and engineering trades,,Canada,Male,,Ecole de technologie Superieure,Canada,2005,Santa Fe,
Measures of Structural Complexity Networks,,,Computing,6,Chad Gonzales,,,,,Male,,Arizona State University,US,2005,Santa Fe,
Measures of Structural Complexity Networks,,,Computing,6,Christopher Honey,,,,,Male,,"Indiana University, Bloomington",US,2005,Santa Fe,
Measures of Structural Complexity Networks,,,Computing,6,Maria Széliga,,,,,Female,,IFIR / CONICET,Argentinia,2005,Santa Fe,
Measures of Structural Complexity Networks,,,Computing,6,Dalia Terhesiu,,,,,Female,,University of Connecticut,US,2005,Santa Fe,
The emergence of differentiating signals within groups,,,Social and behavioural sciences,4,Edward Augenblick,,,,,Male,,Stanford University,US,2005,Santa Fe,
The emergence of differentiating signals within groups,,,Social and behavioural sciences,4,Annerieke Heuvelink,,,,,Male,,Department of Training and Instruction,US,2005,Santa Fe,
The emergence of differentiating signals within groups,,,Social and behavioural sciences,4,Radu Iovita,,,,,Female,,University of Pennsylvania,US,2005,Santa Fe,
The emergence of differentiating signals within groups,,,Social and behavioural sciences,4,Graham Ritchie,,,,,Male,,University of Edinburgh,UK,2005,Santa Fe,
Diversification of Regional Dialect,,,Humanities,3,Maureen Ballard,,,,,Female,,Centro Atómico Bariloche,Argentinia,2005,Beijing,
Diversification of Regional Dialect,,,Humanities,3,Robert Stojnic,,,,,Male,,Faculty of Technical Sciences,Serbia and Montenegro,2005,Beijing,
Diversification of Regional Dialect,,,Humanities,3,William Gibson,,,,,Male,,,,2005,Beijing,
Emergence of Local Connection Patterns and Other Food Web Traits: An Evolutionary Model,,,Life sciences,2,Mariana Benítez,,,,,Female,,Universidad de la Ciudad de México,Mexico,2005,Santa Fe,
Emergence of Local Connection Patterns and Other Food Web Traits: An Evolutionary Model,,,Life sciences,2,Carlos Espinosa,,,,,Male,,"Institute of Ecology, UNAM",Mexico,2005,Santa Fe,
Exploring Passive-Dynamic Walking,,,Engineering and engineering trades,2,Gordon Berman,,,,,Male,,Cornell University,US,2005,Santa Fe,
Exploring Passive-Dynamic Walking,,,Engineering and engineering trades,2,Jo-Anne Ting,,,,,Female,,University of Southern California,US,2005,Santa Fe,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural sciences,6,Allison Binns,,,,,Female,,Harvard University,US,2005,Beijing,
Advocate Influence on Politics Through the Media: A Multi-agent Simulation,,,Social and behavioural sciences,6,Chang Yunfeng,,,,,Male,,Institute of Particle Physics,China,2005,Beijing,
